Time0,Longitude0,Latitude0,Magnitude0,Time1,Longitude1,Latitude1,Magnitude1,Time2,Longitude2,Latitude2,Magnitude2,Time3,Longitude3,Latitude3,Magnitude3,Time4,Longitude4,Latitude4,Magnitude4,Time5
1637352420.0,142.3149,38.2196,4.3,1637366243.0,139.5146,35.7987,4.6,1637397301.0,142.7536,28.4244,4.9,1637435261.0,147.7301,43.7075,4.7,1637446997.0,143.5976,22.3063,4.3,1637471414.0
1637492938.0,142.8574,22.3555,4.3,1637579761.0,130.4085,29.32,4.2,1637588002.0,121.9386,21.7166,4.5,1637591205.0,123.407,24.2654,4.6,1637608199.0,143.2148,42.2291,4.3,1637609858.0
1637624943.0,145.2239,38.886,4.4,1637660922.0,142.217,38.8975,4.8,1637676266.0,144.8203,22.1431,4.6,1637732684.0,141.685,36.3957,4.6,1637741196.0,141.9048,39.4207,4.8,1637746138.0
1637747718.0,122.4498,24.0123,4.9,1637749705.0,141.7366,36.5173,4.4,1637753660.0,142.1297,36.2755,4.2,1637777852.0,143.3002,21.6139,4.1,1637779889.0,141.8713,36.185,4.2,1637874905.0
1637893893.0,142.8347,36.8314,4.3,1637910844.0,142.354,28.9223,5.6,1637915833.0,144.8033,42.4256,4.3,1637923611.0,142.4702,28.754,4.4,1637971383.0,128.7527,26.5532,4.4,1637973595.0
1638057352.0,126.6773,24.0754,4.2,1638058451.0,126.6505,24.1461,4.3,1638068272.0,143.5115,29.4285,4.5,1638111280.0,141.5144,35.0721,4.5,1638131601.0,146.5898,43.1379,4.6,1638137636.0
1638138452.0,130.776,31.9107,4.3,1638141086.0,121.7977,24.1488,4.3,1638184953.0,137.2049,33.5176,4.1,1638189644.0,142.5026,31.196,6.3,1638190782.0,142.2653,31.0608,4.3,1638193854.0
1638210198.0,142.5919,41.8821,4.3,1638211896.0,141.9624,39.7223,4.2,1638222185.0,143.2737,39.6353,4.3,1638224989.0,142.4398,31.1392,4.6,1638228884.0,142.433,31.2587,4.4,1638232246.0
1638254062.0,142.4432,31.1664,4.5,1638255214.0,142.4377,31.217,5.5,1638256244.0,142.4847,31.1231,4.6,1638257385.0,142.3912,31.1709,4.3,1638258194.0,142.4423,31.2168,4.4,1638262601.0
1638270643.0,141.9171,32.2308,4.7,1638286871.0,142.2841,31.1917,4.7,1638287736.0,141.4962,35.2018,4.6,1638288173.0,140.2265,36.1956,4.9,1638296858.0,142.3142,31.1227,5.0,1638303133.0
1638304727.0,142.3623,31.2238,4.6,1638305351.0,142.5167,31.1371,4.9,1638306719.0,137.4257,32.9042,4.1,1638308377.0,142.3401,31.095,4.4,1638309494.0,142.4753,31.3205,4.6,1638310967.0
1638311648.0,142.475,31.0074,4.2,1638314265.0,121.7098,22.9479,4.6,1638315007.0,141.5889,35.1634,4.6,1638319988.0,126.7316,24.1268,4.3,1638331754.0,141.4204,35.228,4.7,1638334168.0
1638334593.0,137.1036,33.769,4.0,1638335313.0,141.4165,35.2014,4.5,1638338693.0,141.3281,35.143,4.9,1638343488.0,141.6904,35.2252,4.4,1638348048.0,142.4445,31.1761,4.9,1638348592.0
1638349024.0,121.6872,22.9567,4.4,1638352155.0,142.4082,31.2061,4.8,1638354153.0,141.4451,35.2169,4.8,1638358211.0,142.476,31.0387,4.5,1638360431.0,142.2014,31.1263,4.3,1638369096.0
1638372383.0,121.1221,21.4612,4.5,1638377916.0,140.0911,36.1875,5.0,1638379855.0,142.3853,30.6194,4.6,1638380449.0,143.0663,39.2602,4.2,1638380664.0,141.352,35.217,4.3,1638398853.0
1638423573.0,142.262,31.2902,4.1,1638429803.0,142.3944,31.1725,4.2,1638433488.0,141.7845,37.7216,4.8,1638438037.0,141.4146,35.2243,4.5,1638438273.0,141.2639,35.1712,4.6,1638465479.0
